cluster,ID,Source.Name,Capacity (MW),Plant name,Operator,Operator owners / investors,Capacity of plant,Fuels used,Status of project ,Expected operation start date,Status,Source.Name,Number,Lat,Lon,stack.heigth..m,base.elevation,diameter,exit.velocity,exit.temperature..K,downwash,SO2,SO4,NO,NO2,HNO3,NO3,PM15,PM10,PPM25,Hg0,RGM,Hgp
1,JP1,"Shizuoka, Suzukawa Energy Center",100,鈴川エネルギーセンター,鈴川エネルギーセンター,日本製紙（20%）、 三菱商事（70%）、 中部電力（10%）,11.2 [万kW],Case1：石炭専焼　Case2：石炭＋木質（3cal%混焼）　Case3：石炭＋木質（33cal%混焼）,稼働中,42614,Under construction,"Shizuoka, Suzukawa Energy Center",1,35.1435,138.7134,135,553.2115482,3.1,15.9,322.15,0,413.6946,0,556.9101,29.3111,0,0,NA,NA,39.6296,2.6067,9.5111,0.0469
2,JP2,"Hiroshima, Osaki Cool Gen",166,石炭ガス化燃料電池複合発電実証事業,大崎クールジェン（株）,中国電力（株）、 電源開発（株）,16.6 [万kW],石炭,稼働中,42795,Under construction,"Hiroshima, Osaki Cool Gen",1,34.258,132.8728,200,111.1553156,3.1,38.2,368.15,0,243.3497,0,162.2068,8.5372,0,0,NA,NA,20.792,13.4029,4.9901,0.2413
3,JP3,"Aichi, Nagoya No.2",110,名古屋第2発電所,中山名古屋共同発電,ガスアンドパワー（95%）、 中山製鋼所（5%）、 大阪ガス （ガスアンドパワーの親会社）,11.0 [万kW],バイオマス混焼,稼働中,42948,Under construction,"Aichi, Nagoya No.2",1,34.8442,136.9273,118,12.63808403,3.1,19.9,326.15,0,208.8752,0,112.1931,5.9049,0,0,NA,NA,11.1584,2.8024,2.678,0.0504
3,JP30,"Aichi, Taketoyo No.5",1070,武豊火力発電所 5号機,中部電力,中部電力,107.0 [万kW],石炭,アセスメント完了,2022年3月,Assessment processing,"Aichi, Taketoyo No.5",1,34.8249,136.9239,180,14.95518027,7.1667,31.6,363.15,0,1545.2708,0,675.8618,35.5717,0,0,NA,NA,45.0494,21.7797,10.8118,0.392
4,JP4,"Okayama, Mizushima Energy Center",110,水島エネルギーセンター,水島エネルギーセンター,関電エネルギーソリューション、 三菱商事、 三菱化学,11.2 [万kW],3Case,稼働中,2017年夏,Planning (without official announcement),"Okayama, Mizushima Energy Center",1,34.5032,133.7616,96,31.36227598,3.1,21.9143,346.15,0,612.3021,0,561.842,29.5706,0,0,NA,NA,33.7297,3.2531,8.0951,0.0586
5,JP5,"Miyagi, Sendai Power Station",112,仙台パワーステーション,仙台パワーステーション,関電エネルギーソリューション、 伊藤忠エネクス,11.2 [万kW],石炭,稼働中,2017年10月,Planning (without official announcement),"Miyagi, Sendai Power Station",1,38.2669,141.0134,118,26.88903863,3.1,21.1,325.15,0,786.8308,0,668.0961,35.163,0,0,NA,NA,51.3828,3.3122,12.3319,0.0596
6,JP24,"Ibaraki, Kashima No.2",650,鹿島火力発電所2号機,鹿島パワー,電源開発、 新日鐵住金,64.5 [万kW],石炭,建設中,2020年7月,Assessment processing,"Ibaraki, Kashima No.2",1,35.9393,140.6709,180,0.002377925,7.1667,30,363.15,0,1013.9572,0,446.0688,23.4773,0,0,NA,NA,38.1187,14.7432,9.1485,0.2654
6,JP6,"Ibaraki, Unknown",100,発電所名不明,（かみすパワー）,丸紅、 関西電力（関電エネルギーソリューション）,11.2 [万kW],石炭,計画中 (公式発表なし),2018年,Planning (without official announcement),"Ibaraki, Unknown",1,35.9983,140.6202,96,0,3.1,21.9143,346.15,0,556.6383,0,510.7654,26.8824,0,0,NA,NA,30.6634,2.9573,7.3592,0.0532
7,JP15,"Fukushima, M.Setek Soma Factory plant",112,エム・セテック相馬工場内発電所,相馬エネルギーパーク合同会社,相馬エネルギーパーク合同会社,11.2 [万kW],バイオマス混焼,建設中,2018年3月,Assessment completed,"Fukushima, M.Setek Soma Factory plant",1,37.8295,140.9425,87.7143,8.71686805,3.1,18.5429,323.8643,0,400.7866,0,430.3442,22.6497,0,0,NA,NA,28.7916,2.8999,6.91,0.0522
7,JP45,"Fukushima, Unknown",1000,発電所名不明,相馬共同火力発電,東京電力、 中部電力、 東北電力,100.0 [万kW],石炭,計画中 (公式発表なし),不明,Planning (without official announcement),"Fukushima, Unknown",1,37.8483,140.9462,175.7895,8.066124548,7.26,29.1316,358.7816,0,1587.5579,0,970.5386,51.081,0,0,NA,NA,81.867,23.7995,19.6481,0.4284
